2, 6
3, 48
4, 96
5, 480
6, 288
7, 2016
8, 1536
9, 3888
10, 2880
11, 13200
12, 4608
13, 26208
14, 12096
15, 23040
16, 24576
17, 78336
18, 23328
19, 123120
20, 46080
21, 96768
22, 79200
23, 267168
24, 73728
25, 300000
26, 157248
27, 314928
28, 193536
29, 682080
30, 138240
31, 892800
32, 393216
33, 633600
34, 470016
35, 967680
36, 373248
37, 1822176
38, 738720
39, 1257984
40, 737280
41, 2755200
42, 580608
43, 3337488
44, 1267200
45, 1866240
46, 1603008
47, 4773696
48, 1179648
49, 4840416
50, 1800000
51, 3760128
52, 2515968
53, 7738848
54, 1889568
55, 6336000
56, 3096576
57, 5909760
58, 4092480
59, 11908560
60, 2211840
61, 13615200
62, 5356800
63, 7838208
64, 6291456
65, 12579840
66, 3801600
67, 19845936
68, 7520256
69, 12824064
70, 5806080
71, 25048800
72, 5971968
73, 28003968
74, 10933056
75, 14400000
76, 11819520
77, 26611200
78, 7547904
79, 38450880
80, 11796480
81, 25509168
82, 16531200
83, 46879728
84, 9289728
85, 37601280
86, 20024928
87, 32739840
88, 20275200
89, 62029440
90, 11197440
91, 52835328
92, 25648128
93, 42854400
94, 28642176
95, 59097600
96, 18874368
97, 87607296
98, 29042496
99, 51321600
100, 28800000
101, 103020000
102, 22560768
103, 111447648
104, 40255488
105, 46448640
106, 46433088
107, 129843216
108, 30233088
109, 139851360
110, 38016000
111, 87464448
112, 49545216
113, 161591808
114, 35458560
115, 128240640
116, 65479680
117, 101896704
118, 71451360
119, 157925376
120, 35389440
121, 193261200
122, 81691200
123, 132249600
124, 85708800
125, 187500000
126, 47029248
127, 258080256
128, 100663296
129, 160199424
130, 75479040
131, 292234800
132, 60825600
133, 248209920
134, 119075616
135, 151165440
136, 120324096
137, 349685376
138, 76944384
139, 370596240
140, 92897280
141, 229137408
142, 150292800
143, 345945600
144, 95551488
145, 327398400
146, 168023808
147, 232339968
148, 174928896
149, 489554400
150, 86400000
151, 516420000
152, 189112320
153, 304570368
154, 159667200
155, 428544000
156, 120766464
157, 603678816
158, 230705280
159, 371464704
160, 188743680
161, 538610688
162, 153055008
163, 701554608
164, 264499200
165, 304128000
166, 281278368
167, 773111136
168, 148635648
169, 748526688
170, 225607680
171, 478690560
172, 320398848
173, 890537568
174, 196439040
175, 604800000
176, 324403200
177, 571610880
178, 372176640
179, 1020858480
180, 179159040
181, 1067320800
182, 317011968
183, 653529600
184, 410370048
185, 874644480
186, 257126400
187, 1034035200
188, 458274816
189, 634894848
190, 354585600
191, 1323859200
192, 301989888
193, 1380261888
194, 525643776
195, 603832320
196, 464679936
197, 1498454496
198, 307929600
199, 1560319200
200, 460800000
201, 952604928
202, 618120000
203, 1375073280
204, 360972288
205, 1322496000
206, 668685888
207, 1038749184
208, 644087808
209, 1625184000
210, 278691840
211, 1972681200
212, 742929408
213, 1202342400
214, 779059296
215, 1601994240
216, 483729408
217, 1799884800
218, 839108160
219, 1344190464
220, 608256000
221, 2053029888
222, 524786688
223, 2461834368
224, 792723456
225, 1166400000
226, 969550848
227, 2643489456
228, 567336960
229, 2737997280
230, 769443840
231, 1277337600
232, 1047674880
233, 2934592128
234, 611380224
235, 2291374080
236, 1143221760
237, 1845642240
238, 947552256
239, 3249099840
240, 566231040
241, 3359347200
242, 1159567200
243, 2066242608
244, 1307059200
245, 2323399680
246, 793497600
247, 3226728960
248, 1371340800
249, 2250226944
250, 1125000000
251, 3953250000
252, 752467968
253, 3526617600
254, 1548481536
255, 1804861440
256, 1610612736
257, 4345430016
258, 961196544
259, 3673506816
260, 1207664640
261, 2651927040
262, 1753408800
263, 4766090208
264, 973209600
265, 3714647040
266, 1489259520
267, 2977413120
268, 1905209856
269, 5216577120
270, 906992640
271, 5373604800
272, 1925185536
273, 2536095744
274, 2098112256
275, 3960000000
276, 1231110144
277, 5866009056
278, 2223577440
279, 3471206400
280, 1486356480
281, 6212572800
282, 1374824448
283, 6391502928
284, 2404684800
285, 2836684800
286, 2075673600
287, 5554483200
288, 1528823808
289, 6542701056
290, 1964390400
291, 4205150208
292, 2688380928
293, 7344811488
294, 1394039808
295, 5716108800
296, 2798862336
297, 4157049600
298, 2937326400
299, 7001938944
300, 1382400000
301, 6728375808
302, 3098520000
303, 4944960000
304, 3025797120
305, 6535296000
306, 1827422208
307, 8853845616
308, 2554675200
309, 5349487104
310, 2571264000
311, 9324775200
312, 1932263424
313, 9567163008
314, 3622072896
315, 3762339840
316, 3691284480
317, 10066083936
318, 2228788224
319, 9003456000
320, 3019898880
321, 6232474368
322, 3231664128
323, 9644728320
324, 2448880128
325, 7862400000
326, 4209327648
327, 6712865280
328, 4231987200
329, 9623771136
330, 1824768000
331, 11967238800
332, 4500453888
333, 7084620288
334, 4638666816
335, 9526049280
336, 2378170368
337, 12859531776
338, 4491160128
339, 7756406784
340, 3609722880
341, 11784960000
342, 2872143360
343, 11621838816
344, 5126381568
345, 6155550720
346, 5343225408
347, 14456425296
348, 3143024640
349, 14792853600
350, 3628800000
351, 8253633024
352, 5190451200
353, 15483291648
354, 3429665280
355, 12023424000
356, 5954826240
357, 7580418048
358, 6125150880
359, 16563915360
360, 2866544640
361, 16045121520
362, 6403924800
363, 9276537600
364, 5072191488
365, 13441904640
366, 3921177600
367, 18091561536
368, 6565920768
369, 10712217600
370, 5247866880
371, 15601517568
372, 4114022400
373, 19304844768
374, 6204211200
375, 9000000000
376, 7332397056
377, 17875952640
378, 3809369088
379, 20578153680
380, 5673369600
381, 12387852288
382, 7943155200
383, 21461334528
384, 4831838208
385, 12773376000
386, 8281571328
387, 12976153344
388, 8410300416
389, 22839030240
390, 3622993920
391, 20928872448
392, 7434878976
393, 14027270400
394, 8990726976
395, 18456422400
396, 4926873600
397, 24777868896
398, 9361915200
399, 11914076160
400, 7372800000
401, 25792320000
402, 5715629568
403, 23398502400
404, 9889920000
405, 12244400640
406, 8250439680
407, 24052723200
408, 5775556608
409, 27914348160
410, 7934976000
411, 16784898048
412, 10698974208
413, 24007656960
414, 6232495104
415, 22502269440
416, 10305404928
417, 17788619520
418, 9751104000
419, 30747929520
420, 4459069440
421, 31339576800
422, 11836087200
423, 18560130048
424, 11886870528
425, 23500800000
426, 7214054400
427, 27448243200
428, 12464948736
429, 16605388800
430, 9611965440
431, 34426900800
432, 7739670528
433, 35070755328
434, 10799308800
435, 15715123200
436, 13425730560
437, 32893724160
438, 8065142784
439, 37056587040
440, 9732096000
441, 18819537408
442, 12318179328
443, 38426535888
444, 8396587008
445, 29774131200
446, 14771006208
447, 23498611200
448, 12683575296
449, 40552243200
450, 6998400000
451, 36368640000
452, 15512813568
453, 24788160000
454, 15860936736
455, 25360957440
456, 9077391360
457, 43522252416
458, 16427983680
459, 24670199808
460, 12311101440
461, 45066991200
462, 7664025600
463, 45854601408
464, 16762798080
465, 20570112000
466, 17607552768
467, 47460746736
468, 9782083584
469, 40009406976
470, 13748244480
471, 28976583168
472, 18291548160
473, 44054841600
474, 11073853440
475, 36936000000
476, 15160836096
477, 30088641024
478, 19494599040
479, 52533041280
480, 9059696640
481, 47755588608
482, 20156083200
483, 25853313024
484, 18553075200
485, 42051502080
486, 12397455648
487, 56133396576
488, 20912947200
489, 33674621184
490, 13940398080
491, 58001437200
492, 12695961600
493, 53431418880
494, 19360373760
495, 24634368000
496, 21941452800
497, 50498380800
498, 13501361664
499, 61876998000
500, 18000000000
501, 37109334528
502, 23719500000
503, 63886038048
504, 12039487488
505, 49449600000
506, 21159705600
507, 35929281024
508, 24775704576
509, 66990833760
510, 10829168640
511, 56455999488
512, 25769803776
513, 38773935360
514, 26072580096
515, 53494871040
516, 15379144704
517, 63012787200
518, 22041040896
519, 42745803264
520, 19322634240
521, 73538524800
522, 15911562240
523, 74674785168
524, 28054540800
525, 29030400000
526, 28596541248
527, 69938380800
528, 15571353600
529, 74764560288
530, 22287882240
531, 46300481280
532, 23828152320
533, 72208281600
534, 17864478720
535, 62324743680
536, 30483357696
537, 49001207040
538, 31299462720
539, 63893491200
540, 14511882240
541, 85503535200
542, 32241628800
543, 51231398400
544, 30802968576
545, 67128652800
546, 15216574464
547, 89362059696
548, 33569796096
549, 52935897600
550, 23760000000
551, 83977689600
552, 19697762304
553, 77516974080
554, 35196054336
555, 41982935040
556, 35577239040
557, 96081323616
558, 20827238400
559, 87468885504
560, 23781703680
561, 49633689600
562, 37275436800
563, 100290577008
564, 21997191168
565, 77564067840
566, 38349017568
567, 51426482688
568, 38474956800
569, 104636641920
570, 17020108800
571, 106116238800
572, 33210777600
573, 63545241600
574, 33326899200
575, 80150400000
576, 24461180928
577, 110649286656
578, 39256206336
579, 66252570624
580, 31430246400
581, 94509531648
582, 25230901248
583, 102152793600
584, 43014094848
585, 48910417920
586, 44068868928
587, 118525189776
588, 22304636928
589, 109921536000
590, 34296652800
591, 71925815808
592, 44781797376
593, 123448140288
594, 24942297600
595, 75804180480
596, 46997222400
597, 74895321600
598, 42011633664
599, 128522877600
600, 22118400000
601, 130248720000
602, 40370254848
603, 77160999168
604, 49576320000
605, 92765376000
606, 29669760000
607, 135530649216
608, 48412753920
609, 66003517440
610, 39211776000
611, 125109024768
612, 29238755328
613, 140971619808
614, 53123073696
615, 63479808000
616, 40874803200
617, 144688849536
618, 32096922624
619, 146574792720
620, 41140224000
621, 84138683904
